iter	Passed	Remaining
869	290662	1379813
870	290975	1379375
871	291296	1378979
872	291616	1378581
873	291944	1378217
874	292256	1377781
875	292591	1377449
876	292911	1377049
877	293323	1377082
878	293721	1377051
879	294052	1376698
880	294366	1376273
881	294686	1375872
882	295032	1375593
883	295373	1375292
884	295703	1374936
885	296123	1375003
886	296463	1374693
887	296779	1374274
888	297112	1373936
889	297452	1373626
890	297774	1373237
891	298082	1372781
892	298410	1372421
893	298721	1371980
894	299041	1371582
895	299445	1371568
896	299839	1371504
897	300163	1371127
898	300469	1370662
899	300862	1370593
900	301177	1370174
901	301513	1369846
902	301857	1369558
903	302168	1369118
904	302485	1368706
905	302810	1368327
906	303119	1367879
907	303436	1367471
908	303780	1367181
909	304103	1366795
910	304423	1366395
911	304774	1366140
912	305110	1365811
913	305444	1365475
914	305783	1365163
915	306114	1364815
916	306431	1364403
917	306757	1364035
918	307101	1363745
919	307453	1363491
920	307779	1363118
921	308103	1362739
922	308425	1362351
923	308789	1362149
924	309140	1361887
925	309464	1361509
926	309805	1361207
927	310162	1360971
928	310500	1360652
929	310832	1360310
930	311147	1359890
931	311562	1359910
932	311889	1359542
933	312214	1359169
934	312532	1358764
935	312858	1358394
936	313173	1357977
937	313494	1357583
938	313974	1357881
939	314320	1357596
940	314648	1357236
941	314963	1356817
942	315288	1356440
943	315613	1356068
944	315944	1355717
945	316254	1355280
946	316593	1354968
947	316938	1354676
948	317288	1354410
949	317634	1354124
950	317955	1353735
951	318306	1353472
952	318637	1353121
953	318987	1352853
954	319300	1352428
955	319613	1352006
956	319963	1351738
957	320368	1351700
958	320714	1351413
959	321101	1351300
960	321430	1350942
961	321746	1350531
962	322071	1350157
963	322397	1349788
964	322715	1349384
965	323105	1349282
966	323438	1348942
967	323847	1348917
968	324186	1348602
969	324518	1348257
970	324906	1348142
971	325244	1347824
972	325594	1347551
973	325946	1347289
974	326265	1346890
975	326579	1346470
976	326888	1346032
977	327231	1345731
978	327561	1345376
979	327881	1344984
980	328264	1344845
981	328599	1344515
982	328931	1344166
983	329267	1343838
984	329607	1343526
985	330023	1343522
986	330417	1343428
987	330747	1343074
988	331150	1343019
989	331490	1342705
990	331813	1342320
991	332135	1341936
992	332450	1341518
993	332795	1341224
994	333115	1340830
995	333444	1340474
996	333757	1340050
997	334077	1339658
998	334416	1339341
999	334748	1338995
1000	335089	1338683
1001	335440	1338414
1002	335786	1338124
1003	336134	1337841
1004	336449	1337428
1005	336785	1337100
1006	337113	1336737
1007	337426	1336317
1008	337759	1335973
1009	338090	1335623
1010	338448	1335382
1011	338825	1335214
1012	339151	1334843
1013	339480	1334488
1014	339831	1334214
1015	340169	1333892
1016	340483	1333476
1017	340816	1333136
1018	341141	1332762
1019	341465	1332385
1020	341797	1332038
1021	342104	1331596
1022	342424	1331204
1023	342728	1330751
1024	343144	1330732
1025	343470	1330361
1026	343811	1330050
1027	344127	1329644
1028	344447	1329252
1029	344789	1328946
1030	345140	1328675
1031	345490	1328397
1032	345807	1327996
1033	346137	1327640
1034	346453	1327234
1035	346803	1326957
1036	347107	1326508
1037	347429	1326122
1038	347851	1326119
1039	348190	1325802
1040	348531	1325489
1041	348861	1325137
1042	349204	1324833
1043	349544	1324518
1044	349896	1324249
1045	350223	1323886
1046	350543	1323495
1047	350885	1323186
1048	351220	1322853
1049	351535	1322442
1050	351875	1322127
1051	352205	1321775
1052	352562	1321524
1053	352899	1321198
1054	353226	1320833
1055	353539	1320415
1056	353866	1320052
1057	354189	1319672
1058	354507	1319277
1059	354819	1318856
1060	355165	1318564
1061	355497	1318219
1062	355815	1317823
1063	356138	1317443
1064	356443	1317001
1065	356769	1316633
1066	357085	1316229
1067	357408	1315852
1068	357762	1315588
1069	358093	1315239
1070	358407	1314831
1071	358735	1314471
1072	359083	1314185
1073	359413	1313833
1074	359746	1313494
1075	360100	1313229
1076	360422	1312847
1077	360741	1312458
1078	361060	1312066
1079	361375	1311659
1080	361720	1311361
1081	362051	1311014
1082	362368	1310617
1083	362769	1310523
1084	363088	1310129
1085	363411	1309752
1086	363729	1309359
1087	364084	1309096
1088	364417	1308757
1089	364754	1308432
1090	365105	1308154
1091	365434	1307799
1092	365754	1307414
1093	366152	1307304
1094	366469	1306906
1095	366779	1306483
1096	367094	1306080
1097	367428	1305742
1098	367749	1305358
1099	368073	1304988
1100	368399	1304623
1101	368712	1304211
1102	369035	1303835
1103	369367	1303492
1104	369696	1303138
1105	370084	1302990
1106	370403	1302603
1107	370743	1302287
1108	371064	1301904
1109	371383	1301514
1110	371697	1301109
1111	372024	1300749
1112	372346	1300369
1113	372728	1300201
1114	373036	1299773
1115	373359	1299398
1116	373683	1299027
1117	374041	1298772
1118	374363	1298394
1119	374772	1298317
1120	375085	1297909
1121	375430	1297612
1122	375779	1297327
1123	376127	1297037
1124	376465	1296714
1125	376785	1296328
1126	377117	1295986
1127	377459	1295677
1128	377810	1295396
1129	378150	1295082
1130	378494	1294779
1131	378805	1294363
1132	379126	1293983
1133	379459	1293643
1134	379781	1293264
1135	380102	1292882
1136	380441	1292563
1137	380757	1292166
1138	381067	1291750
1139	381469	1291642
1140	381807	1291320
1141	382167	1291070
1142	382478	1290654
1143	382797	1290267
1144	383124	1289908
1145	383436	1289497
1146	383779	1289190
1147	384097	1288800
1148	384409	1288390
1149	384733	1288019
1150	385065	1287677
1151	385393	1287320
1152	385727	1286985
1153	386070	1286678
1154	386394	1286310
1155	386701	1285884
1156	387029	1285527
1157	387363	1285191
1158	387691	1284834
1159	387996	1284403
1160	388334	1284079
1161	388655	1283698
1162	388980	1283334
1163	389282	1282893
1164	389664	1282716
1165	389995	1282368
1166	390334	1282051
1167	390674	1281733
1168	390990	1281339
1169	391318	1280982
1170	391717	1280858
1171	392042	1280494
1172	392362	1280111
1173	392687	1279745
1174	392994	1279321
1175	393346	1279045
1176	393666	1278662
1177	393977	1278253
1178	394291	1277853
1179	394641	1277567
1180	394970	1277215
1181	395284	1276815
1182	395606	1276440
1183	395960	1276169
1184	396288	1275814
1185	396614	1275453
1186	396939	1275088
1187	397262	1274718
1188	397585	1274345
